Frequency,Channel A,Channel B
(ms),(V),(V)

0.00000000,-5.42691900,-3.17867300
0.00500800,-5.40723400,-3.16883000
0.01001600,-5.42691900,-3.17867300
0.01502400,-5.44660500,-3.17867300
0.02003200,-5.44660500,-3.17867300
0.02504000,-5.46659700,-3.17867300
0.03004800,-5.46659700,-3.16883000
0.03505600,-5.44660500,-3.16883000
0.04006400,-5.44660500,-3.17867300
0.04507200,-5.44660500,-3.17867300
0.05008000,-5.44660500,-3.17867300
0.05508800,-5.44660500,-3.17867300
0.06009600,-5.44660500,-3.16883000
0.06510400,-5.44660500,-3.17867300
0.07011200,-5.44660500,-3.18866900
0.07512000,-5.46659700,-3.18866900
0.08012800,-5.46659700,-3.18866900
0.08513600,-5.46659700,-3.18866900
0.09014400,-5.46659700,-3.17867300
0.09515200,-5.44660500,-3.17867300
0.10016000,-5.44660500,-3.17867300
0.10516800,-5.44660500,-3.16883000
0.11017600,-5.44660500,-3.16883000
0.11518400,-5.46659700,-3.17867300
0.12019199,-5.46659700,-3.17867300
0.12519999,-5.46659700,-3.18866900
0.13020799,-5.46659700,-3.19851100
0.13521599,-5.46659700,-3.19851100
0.14022399,-5.46659700,-3.19851100
0.14523199,-5.46659700,-3.18866900
0.15023999,-5.46659700,-3.17867300
0.15524799,-5.46659700,-3.16883000
0.16025599,-5.46659700,-3.16883000
0.16526399,-5.44660500,-3.16883000
0.17027199,-5.44660500,-3.16883000
0.17527999,-5.44660500,-3.16883000
0.18028799,-5.44660500,-3.16883000
0.18529599,-5.46659700,-3.16883000
0.19030399,-5.46659700,-3.16883000
0.19531199,-5.44660500,-3.17867300
0.20031999,-5.44660500,-3.17867300
0.20532799,-5.44660500,-3.18866900
0.21033599,-5.44660500,-3.18866900
0.21534399,-5.46659700,-3.18866900
0.22035199,-5.46659700,-3.18866900
0.22535999,-5.44660500,-3.17867300
0.23036799,-5.44660500,-3.17867300
0.23537599,-5.44660500,-3.17867300
0.24038399,-5.44660500,-3.17867300
0.24539199,-5.46659700,-3.18866900
0.25039999,-5.46659700,-3.19851100
0.25540799,-5.46659700,-3.18866900
0.26041599,-5.46659700,-3.18866900
0.26542399,-5.46659700,-3.17867300
0.27043199,-5.46659700,-3.16883000
0.27543999,-5.46659700,-3.16883000
0.28044799,-5.46659700,-3.15883400
0.28545599,-5.46659700,-3.15883400
0.29046399,-5.46659700,-3.15883400
0.29547199,-5.46659700,-3.16883000
0.30047999,-5.46659700,-3.17867300
0.30548799,-5.46659700,-3.18866900
0.31049599,-5.46659700,-3.19851100
0.31550399,-5.46659700,-3.18866900
0.32051199,-5.46659700,-3.19851100
0.32551999,-5.46659700,-3.19851100
0.33052799,-5.46659700,-3.19851100
0.33553599,-5.46659700,-3.20850800
0.34054399,-5.46659700,-3.19851100
0.34555199,-5.46659700,-3.18866900
0.35055999,-5.46659700,-3.17867300
0.35556799,-5.46659700,-3.16883000
0.36057598,-5.46659700,-3.17867300
0.36558398,-5.46659700,-3.17867300
0.37059198,-5.46659700,-3.17867300
0.37559998,-5.46659700,-3.17867300
0.38060798,-5.46659700,-3.16883000
0.38561598,-5.46659700,-3.16883000
0.39062398,-5.46659700,-3.16883000
0.39563198,-5.46659700,-3.16883000
0.40063998,-5.46659700,-3.17867300
0.40564798,-5.46659700,-3.18866900
0.41065598,-5.46659700,-3.18866900
0.41566398,-5.46659700,-3.19851100
0.42067198,-5.46659700,-3.18866900
0.42567998,-5.48628200,-3.17867300
0.43068798,-5.48628200,-3.18866900
0.43569598,-5.48628200,-3.18866900
0.44070398,-5.48628200,-3.19851100
0.44571198,-5.46659700,-3.19851100
0.45071998,-5.48628200,-3.18866900
0.45572798,-5.48628200,-3.17867300
0.46073598,-5.48628200,-3.16883000
0.46574398,-5.48628200,-3.17867300
0.47075198,-5.46659700,-3.17867300
0.47575998,-5.46659700,-3.17867300
0.48076798,-5.46659700,-3.17867300
0.48577598,-5.46659700,-3.16883000
0.49078398,-5.46659700,-3.17867300
0.49579198,-5.46659700,-3.17867300
0.50079998,-5.46659700,-3.17867300
0.50580798,-5.46659700,-3.17867300
0.51081598,-5.46659700,-3.16883000
0.51582398,-5.46659700,-3.17867300
0.52083198,-5.46659700,-3.18866900
0.52583998,-5.46659700,-3.18866900
0.53084798,-5.46659700,-3.18866900
0.53585598,-5.46659700,-3.17867300
0.54086398,-5.46659700,-3.16883000
0.54587198,-5.46659700,-3.16883000
0.55087998,-5.46659700,-3.16883000
0.55588798,-5.46659700,-3.17867300
0.56089598,-5.46659700,-3.17867300
0.56590398,-5.46659700,-3.17867300
